------------------------------
model:ResNet152
num_classes:21
num_epoch:3000
learning_rate:0.01
im_width:256
im_height:256
iter_smooth:10
Epoch [1/3000], Iter [10/105], lr: 0.010000, Loss: 3.1041, top1: 6.2500
Epoch [1/3000], Iter [20/105], lr: 0.010000, Loss: 3.0391, top1: 8.1250
Epoch [1/3000], Iter [30/105], lr: 0.010000, Loss: 2.7468, top1: 13.7500
Epoch [1/3000], Iter [40/105], lr: 0.010000, Loss: 2.4144, top1: 21.2500
Epoch [1/3000], Iter [50/105], lr: 0.010000, Loss: 2.2973, top1: 18.7500
Epoch [1/3000], Iter [60/105], lr: 0.010000, Loss: 2.2321, top1: 22.5000
Epoch [1/3000], Iter [70/105], lr: 0.010000, Loss: 1.9996, top1: 28.7500
Epoch [1/3000], Iter [80/105], lr: 0.010000, Loss: 2.1642, top1: 27.5000
Epoch [1/3000], Iter [90/105], lr: 0.010000, Loss: 2.0083, top1: 31.8750
Epoch [1/3000], Iter [100/105], lr: 0.010000, Loss: 1.9506, top1: 31.2500
Epoch [1/3000], Val_Loss: 1.7091, Val_top1: 39.3868, val_time: 3.8112 s
Epoch [2/3000], Iter [10/105], lr: 0.010000, Loss: 1.7315, top1: 42.9167
Epoch [2/3000], Iter [20/105], lr: 0.010000, Loss: 1.6697, top1: 45.0000
Epoch [2/3000], Iter [30/105], lr: 0.010000, Loss: 1.6784, top1: 45.6250
Epoch [2/3000], Iter [40/105], lr: 0.010000, Loss: 1.6145, top1: 40.6250
Epoch [2/3000], Iter [50/105], lr: 0.010000, Loss: 1.3756, top1: 55.0000
Epoch [2/3000], Iter [60/105], lr: 0.010000, Loss: 1.3391, top1: 56.2500
Epoch [2/3000], Iter [70/105], lr: 0.010000, Loss: 1.4098, top1: 53.1250
Epoch [2/3000], Iter [80/105], lr: 0.010000, Loss: 1.3861, top1: 58.7500
Epoch [2/3000], Iter [90/105], lr: 0.010000, Loss: 1.2842, top1: 57.5000
Epoch [2/3000], Iter [100/105], lr: 0.010000, Loss: 1.1974, top1: 65.0000
Epoch [2/3000], Val_Loss: 1.0692, Val_top1: 66.7453, val_time: 3.8241 s
Epoch [3/3000], Iter [10/105], lr: 0.010000, Loss: 1.1867, top1: 59.5833
Epoch [3/3000], Iter [20/105], lr: 0.010000, Loss: 1.2421, top1: 60.6250
Epoch [3/3000], Iter [30/105], lr: 0.010000, Loss: 1.3400, top1: 53.7500
Epoch [3/3000], Iter [40/105], lr: 0.010000, Loss: 1.3121, top1: 53.7500
